Date,Open,High,Low,Close,Adj Close,Volume
2020-07-24,2.420000,2.460000,2.400000,2.400000,2.400000,5520200
2020-07-27,2.360000,2.410000,2.360000,2.400000,2.400000,22854000
2020-07-28,2.410000,2.440000,2.390000,2.420000,2.420000,5041600
2020-07-29,2.300000,2.380000,2.280000,2.380000,2.380000,8086000
2020-07-30,2.210000,2.250000,2.180000,2.250000,2.250000,16017600
2020-07-31,2.180000,2.180000,2.100000,2.110000,2.110000,14647300
2020-08-03,2.130000,2.170000,2.110000,2.170000,2.170000,9665200
2020-08-04,2.190000,2.260000,2.180000,2.250000,2.250000,8163500
2020-08-05,2.220000,2.230000,2.200000,2.210000,2.210000,6511100
2020-08-06,2.170000,2.220000,2.170000,2.220000,2.220000,8259300
2020-08-07,2.120000,2.190000,2.110000,2.190000,2.190000,8750700
2020-08-10,2.190000,2.230000,2.190000,2.230000,2.230000,6082100
2020-08-11,2.330000,2.360000,2.300000,2.320000,2.320000,9711100
2020-08-12,2.390000,2.400000,2.300000,2.310000,2.310000,8221300
2020-08-13,2.300000,2.320000,2.260000,2.270000,2.270000,4327400
2020-08-14,2.220000,2.270000,2.220000,2.240000,2.240000,4868800
2020-08-17,2.250000,2.250000,2.210000,2.210000,2.210000,3424400
2020-08-18,2.250000,2.250000,2.190000,2.210000,2.210000,5158700
2020-08-19,2.230000,2.290000,2.230000,2.240000,2.240000,7591500
2020-08-20,2.180000,2.200000,2.170000,2.190000,2.190000,6548600
2020-08-21,2.120000,2.150000,2.110000,2.150000,2.150000,7634200
2020-08-24,2.180000,2.230000,2.160000,2.220000,2.220000,14071900
2020-08-25,2.280000,2.280000,2.210000,2.230000,2.230000,5330000
2020-08-26,2.240000,2.260000,2.230000,2.240000,2.240000,4359300
2020-08-27,2.220000,2.250000,2.210000,2.230000,2.230000,7176500
2020-08-28,2.300000,2.330000,2.280000,2.320000,2.320000,6151000
2020-08-31,2.270000,2.280000,2.210000,2.230000,2.230000,11180300
2020-09-01,2.200000,2.240000,2.180000,2.200000,2.200000,18361100
2020-09-02,2.170000,2.180000,2.150000,2.180000,2.180000,4726600
2020-09-03,2.210000,2.260000,2.160000,2.160000,2.160000,7250900
2020-09-04,2.260000,2.280000,2.200000,2.270000,2.270000,8398900
2020-09-08,2.210000,2.210000,2.170000,2.180000,2.180000,6483200
2020-09-09,2.190000,2.230000,2.170000,2.210000,2.210000,5955000
2020-09-10,2.200000,2.230000,2.130000,2.130000,2.130000,8661100
2020-09-11,2.140000,2.160000,2.120000,2.120000,2.120000,10697000
2020-09-14,2.140000,2.160000,2.130000,2.150000,2.150000,5586400
2020-09-15,2.140000,2.150000,2.110000,2.120000,2.120000,8212000
2020-09-16,2.080000,2.140000,2.060000,2.120000,2.120000,7601000
2020-09-17,2.080000,2.110000,2.070000,2.090000,2.090000,6499800
2020-09-18,2.030000,2.040000,1.990000,2.020000,2.020000,15293800
2020-09-21,1.920000,1.940000,1.870000,1.920000,1.920000,24374300
2020-09-22,1.900000,1.900000,1.820000,1.860000,1.860000,18104200
2020-09-23,1.870000,1.880000,1.790000,1.790000,1.790000,16868200
2020-09-24,1.800000,1.850000,1.780000,1.820000,1.820000,13736200
2020-09-25,1.810000,1.840000,1.800000,1.830000,1.830000,7174000
2020-09-28,1.890000,1.940000,1.880000,1.910000,1.910000,8790200
