Date,Open,High,Low,Close,Adj Close,Volume
2020-07-30,4.420000,4.470000,4.360000,4.470000,4.042344,1782600
2020-07-31,4.370000,4.370000,4.200000,4.210000,3.807219,2422800
2020-08-03,4.240000,4.290000,4.200000,4.260000,3.852436,1474100
2020-08-04,4.320000,4.380000,4.310000,4.370000,3.951911,2201300
2020-08-05,4.320000,4.330000,4.230000,4.240000,3.834349,1544600
2020-08-06,4.160000,4.170000,4.110000,4.140000,3.743916,1980300
2020-08-07,4.110000,4.170000,4.090000,4.160000,3.762003,2001000
2020-08-10,4.200000,4.270000,4.190000,4.230000,3.825306,1519900
2020-08-11,4.350000,4.380000,4.270000,4.280000,3.870522,2088900
2020-08-12,4.410000,4.410000,4.320000,4.340000,3.924782,937000
2020-08-13,4.380000,4.420000,4.340000,4.350000,3.933825,717600
2020-08-14,4.310000,4.360000,4.300000,4.300000,3.888609,901600
2020-08-17,4.320000,4.350000,4.260000,4.270000,3.861479,1117100
2020-08-18,4.290000,4.290000,4.230000,4.240000,3.834349,843800
2020-08-19,4.290000,4.320000,4.260000,4.260000,3.852436,1122300
2020-08-20,4.180000,4.200000,4.140000,4.150000,3.752959,1664400
2020-08-21,4.130000,4.140000,4.080000,4.120000,3.725830,1601200
2020-08-24,4.190000,4.220000,4.170000,4.210000,3.807219,2877100
2020-08-25,4.260000,4.260000,4.100000,4.150000,3.752959,1515300
2020-08-26,4.100000,4.110000,4.060000,4.080000,3.689656,1302300
2020-08-27,4.060000,4.070000,4.010000,4.010000,3.626354,1411500
2020-08-28,4.030000,4.030000,4.000000,4.020000,3.635397,1202500
2020-08-31,3.990000,4.000000,3.940000,3.950000,3.572094,2215800
2020-09-01,3.870000,3.900000,3.840000,3.850000,3.481661,2134600
2020-09-02,3.850000,3.880000,3.820000,3.850000,3.481661,2071400
2020-09-03,3.930000,3.990000,3.890000,3.910000,3.535921,1982500
2020-09-04,3.880000,3.940000,3.840000,3.920000,3.544964,1565900
2020-09-08,3.840000,3.880000,3.800000,3.840000,3.472618,2009600
2020-09-09,3.900000,3.950000,3.890000,3.920000,3.544964,1695400
2020-09-10,3.920000,3.930000,3.810000,3.810000,3.445488,1709100
2020-09-11,3.830000,3.860000,3.800000,3.810000,3.445488,1362600
2020-09-14,3.880000,3.890000,3.840000,3.850000,3.481661,1423100
2020-09-15,3.860000,3.880000,3.820000,3.840000,3.472618,3029700
2020-09-16,3.800000,3.840000,3.780000,3.790000,3.427402,1507600
2020-09-17,3.780000,3.820000,3.760000,3.810000,3.445488,858300
2020-09-18,3.750000,3.760000,3.650000,3.690000,3.336969,2860200
2020-09-21,3.540000,3.570000,3.500000,3.560000,3.219406,2708700
2020-09-22,3.600000,3.640000,3.530000,3.550000,3.210363,2562400
2020-09-23,3.530000,3.550000,3.420000,3.430000,3.101844,2674600
2020-09-24,3.480000,3.530000,3.450000,3.500000,3.165147,2355000
2020-09-25,3.460000,3.490000,3.440000,3.480000,3.147060,1998400
2020-09-28,3.490000,3.530000,3.470000,3.520000,3.183233,1890700
2020-09-29,3.450000,3.460000,3.400000,3.410000,3.083757,2326900
2020-09-30,3.470000,3.520000,3.440000,3.440000,3.110887,1467700
2020-10-01,3.440000,3.490000,3.430000,3.450000,3.119930,2905800
2020-10-02,3.400000,3.480000,3.390000,3.480000,3.147060,2348500
2020-10-05,3.670000,3.790000,3.660000,3.770000,3.409315,2645600
2020-10-06,3.880000,3.920000,3.830000,3.830000,3.463575,4624200
2020-10-07,3.800000,3.810000,3.730000,3.750000,3.391228,1768400
2020-10-08,3.830000,3.880000,3.830000,3.880000,3.508791,1006000
2020-10-09,3.850000,3.860000,3.790000,3.860000,3.490705,2725900
2020-10-12,3.750000,3.780000,3.720000,3.770000,3.409315,2210700
2020-10-13,3.680000,3.690000,3.620000,3.640000,3.291753,2978300
2020-10-14,3.680000,3.700000,3.640000,3.650000,3.300796,1321600
2020-10-15,3.600000,3.680000,3.580000,3.660000,3.309839,1326100
2020-10-16,3.570000,3.640000,3.560000,3.620000,3.273666,1350400
2020-10-19,3.600000,3.630000,3.540000,3.580000,3.237493,2441500
2020-10-20,3.640000,3.670000,3.610000,3.640000,3.291753,2333600
2020-10-21,3.580000,3.630000,3.560000,3.610000,3.264622,1561100
2020-10-22,3.560000,3.630000,3.550000,3.620000,3.273666,1328200
2020-10-23,3.700000,3.720000,3.670000,3.710000,3.355055,1244300
2020-10-26,3.720000,3.720000,3.660000,3.680000,3.327926,1040400
2020-10-27,3.590000,3.610000,3.560000,3.570000,3.228450,1303700
2020-10-28,3.510000,3.550000,3.460000,3.490000,3.156103,1618500
2020-10-29,3.260000,3.390000,3.220000,3.360000,3.038541,3943600
2020-10-30,3.300000,3.320000,3.260000,3.320000,3.002368,1981500
2020-11-02,3.380000,3.400000,3.340000,3.400000,3.074714,1938800
2020-11-03,3.420000,3.460000,3.400000,3.440000,3.110887,2234800
2020-11-04,3.350000,3.440000,3.310000,3.390000,3.065671,1808200
2020-11-05,3.460000,3.510000,3.450000,3.460000,3.128973,1066500
2020-11-06,3.430000,3.440000,3.350000,3.360000,3.038541,1543200
