k,ρ^2,θ3,Error
1,23.04,0.5,0.978299
2,23.04,0.999163,0.956634
3,23.04,0.998328,0.95667
4,23.04,0.997495,0.956706
5,23.04,0.996664,0.956742
6,23.04,0.995834,0.956778
7,23.04,0.995007,0.956814
8,23.04,0.99418,0.95685
9,23.04,0.993357,0.956886
10,23.04,0.992535,0.956921
11,23.04,0.991715,0.956957
12,23.04,0.990897,0.956992
13,23.04,0.99008,0.957028
14,23.04,0.989265,0.957063
15,23.04,0.988451,0.957098
16,23.04,0.98764,0.957134
17,23.04,0.986831,0.957169
18,23.04,0.986023,0.957204
19,23.04,0.985219,0.957239
20,23.04,0.984415,0.957274
21,23.04,0.983612,0.957308
22,23.04,0.982813,0.957343
23,23.04,0.982015,0.957378
24,23.04,0.981218,0.957412
25,23.04,0.980425,0.957447
26,23.04,0.979631,0.957481
27,23.04,0.978842,0.957516
28,23.04,0.978053,0.95755
29,23.04,0.977265,0.957584
30,23.04,0.976479,0.957618
31,23.04,0.975696,0.957652
32,23.04,0.974914,0.957686
33,23.04,0.974133,0.95772
34,23.04,0.973356,0.957754
35,23.04,0.97258,0.957787
36,23.04,0.971805,0.957821
37,23.04,0.971032,0.957855
38,23.04,0.97026,0.957888
39,23.04,0.969491,0.957921
40,23.04,0.968723,0.957955
41,23.04,0.967957,0.957988
42,23.04,0.967196,0.958021
43,23.04,0.966435,0.958054
44,23.04,0.965675,0.958087
45,23.04,0.964917,0.95812
46,23.04,0.964159,0.958153
47,23.04,0.963405,0.958186
48,23.04,0.962651,0.958218
49,23.04,0.961899,0.958251
50,23.04,0.961148,0.958284
51,23.04,0.9604,0.958316
52,23.04,0.95966,0.958348
53,23.04,0.958915,0.95838
54,23.04,0.958174,0.958413
55,23.04,0.957435,0.958445
56,23.04,0.956693,0.958477
57,23.04,0.955959,0.958509
58,23.04,0.955224,0.958541
59,23.04,0.954491,0.958572
60,23.04,0.953756,0.958604
61,23.04,0.953025,0.958636
62,23.04,0.952299,0.958668
63,23.04,0.951576,0.958699
64,23.04,0.950851,0.95873
65,23.04,0.950137,0.958761
66,23.04,0.949413,0.958793
67,23.04,0.94869,0.958824
68,23.04,0.947971,0.958855
69,23.04,0.947258,0.958886
70,23.04,0.946542,0.958917
71,23.04,0.945829,0.958948
72,23.04,0.94512,0.958979
73,23.04,0.944415,0.95901
74,23.04,0.943707,0.95904
75,23.04,0.943004,0.959071
76,23.04,0.942299,0.959102
77,23.04,0.941601,0.959132
78,23.04,0.940901,0.959162
79,23.04,0.940199,0.959193
80,23.04,0.939501,0.959223
81,23.04,0.938812,0.959253
82,23.04,0.938123,0.959283
83,23.04,0.93743,0.959313
84,23.04,0.936743,0.959343
85,23.04,0.93606,0.959372
86,23.04,0.935377,0.959402
87,23.04,0.934691,0.959432
88,23.04,0.934013,0.959461
89,23.04,0.933337,0.959491
90,23.04,0.932654,0.95952
91,23.04,0.931979,0.95955
92,23.04,0.931308,0.959579
93,23.04,0.930632,0.959608
94,23.04,0.929958,0.959637
95,23.04,0.929296,0.959666
96,23.04,0.92863,0.959695
97,23.04,0.927965,0.959724
98,23.04,0.927313,0.959752
99,23.04,0.926648,0.959781
100,23.04,0.925985,0.95981
101,23.04,0.925326,0.959838
102,23.04,0.924669,0.959867
103,23.04,0.924012,0.959895
104,23.04,0.923352,0.959924
105,23.04,0.922696,0.959952
106,23.04,0.92205,0.95998
107,23.04,0.921405,0.960008
108,23.04,0.920758,0.960037
109,23.04,0.920114,0.960064
110,23.04,0.919466,0.960093
111,23.04,0.918817,0.960121
112,23.04,0.918179,0.960148
113,23.04,0.917542,0.960176
114,23.04,0.91691,0.960204
115,23.04,0.916268,0.960231
116,23.04,0.915635,0.960259
117,23.04,0.915003,0.960286
118,23.04,0.914368,0.960314
119,23.04,0.913733,0.960341
120,23.04,0.913109,0.960369
121,23.04,0.91248,0.960396
122,23.04,0.911856,0.960423
123,23.04,0.911239,0.96045
124,23.04,0.910616,0.960477
125,23.04,0.909995,0.960504
126,23.04,0.909377,0.96053
127,23.04,0.908763,0.960557
128,23.04,0.908144,0.960584
129,23.04,0.907529,0.960611
130,23.04,0.906917,0.960637
131,23.04,0.906308,0.960664
132,23.04,0.905702,0.96069
133,23.04,0.905103,0.960716
134,23.04,0.904496,0.960742
135,23.04,0.903898,0.960768
136,23.04,0.903305,0.960794
137,23.04,0.902708,0.96082
138,23.04,0.902114,0.960846
139,23.04,0.901515,0.960872
140,23.04,0.900916,0.960898
141,23.04,0.900323,0.960923
142,23.04,0.89973,0.960949
143,23.04,0.899137,0.960975
144,23.04,0.898552,0.961
145,23.04,0.897975,0.961025
146,23.04,0.897394,0.961051
147,23.04,0.896812,0.961076
148,23.04,0.896225,0.961101
149,23.04,0.895648,0.961126
150,23.04,0.895065,0.961152
151,23.04,0.894482,0.961177
152,23.04,0.89391,0.961202
153,23.04,0.893339,0.961227
154,23.04,0.892768,0.961251
155,23.04,0.892197,0.961276
156,23.04,0.891632,0.961301
157,23.04,0.891077,0.961325
158,23.04,0.890504,0.96135
159,23.04,0.889936,0.961374
160,23.04,0.889372,0.961399
161,23.04,0.888809,0.961423
162,23.04,0.888242,0.961448
163,23.04,0.887687,0.961472
164,23.04,0.887137,0.961496
165,23.04,0.886592,0.961519
166,23.04,0.886051,0.961543
167,23.04,0.885494,0.961567
168,23.04,0.884936,0.961591
169,23.04,0.884393,0.961615
170,23.04,0.88384,0.961639
171,23.04,0.883289,0.961663
172,23.04,0.882741,0.961687
173,23.04,0.882196,0.96171
174,23.04,0.881647,0.961734
175,23.04,0.881097,0.961758
