k,t,x
1,0,1
1,0.00396825,0.999992
1,0.00793651,1.00008
1,0.0119048,1.00007
1,0.015873,1.0001
1,0.0198413,1.00003
1,0.0238095,0.999947
1,0.0277778,0.999987
1,0.031746,1
1,0.0357143,1.00003
1,0.0396825,1.00006
1,0.0436508,0.999993
1,0.047619,1
1,0.0515873,0.999993
1,0.0555556,0.999997
1,0.0595238,1.0001
1,0.0634921,1.00009
1,0.0674603,1
1,0.0714286,0.999999
1,0.0753968,0.999972
1,0.0793651,0.999932
1,0.0833333,0.999881
1,0.0873016,0.999956
1,0.0912698,0.999973
1,0.0952381,0.999988
1,0.0992063,0.999977
1,0.103175,0.999927
1,0.107143,0.999847
1,0.111111,0.999942
1,0.115079,1
1,0.119048,1.00005
1,0.123016,0.999971
1,0.126984,1.00003
1,0.130952,0.999938
1,0.134921,0.999881
1,0.138889,0.999812
1,0.142857,0.999851
1,0.146825,0.999947
1,0.150794,0.999918
1,0.154762,0.999887
1,0.15873,0.999856
1,0.162698,0.999739
1,0.166667,0.999666
1,0.170635,0.999649
1,0.174603,0.999691
1,0.178571,0.999697
1,0.18254,0.9997
1,0.186508,0.999662
1,0.190476,0.99968
1,0.194444,0.999701
1,0.198413,0.999611
1,0.202381,0.999612
1,0.206349,0.999628
1,0.210317,0.999611
1,0.214286,0.999599
1,0.218254,0.99967
1,0.222222,0.999611
1,0.22619,0.999576
1,0.230159,0.999655
1,0.234127,0.999722
1,0.238095,0.999685
1,0.242063,0.999585
1,0.246032,0.999565
1,0.25,0.999639
1,0.253968,0.999644
1,0.257937,0.999634
1,0.261905,0.999564
1,0.265873,0.999522
1,0.269841,0.999589
1,0.27381,0.999601
1,0.277778,0.999503
1,0.281746,0.999508
1,0.285714,0.999444
1,0.289683,0.999412
1,0.293651,0.999411
1,0.297619,0.999407
1,0.301587,0.999383
1,0.305556,0.999376
1,0.309524,0.999278
1,0.313492,0.99926
1,0.31746,0.999191
1,0.321429,0.999206
1,0.325397,0.999113
1,0.329365,0.999135
1,0.333333,0.99902
1,0.337302,0.998932
1,0.34127,0.998861
1,0.345238,0.998849
1,0.349206,0.998836
1,0.353175,0.998796
1,0.357143,0.998728
1,0.361111,0.998613
1,0.365079,0.998584
1,0.369048,0.99852
1,0.373016,0.998517
1,0.376984,0.99855
1,0.380952,0.998505
1,0.384921,0.998556
1,0.388889,0.998557
1,0.392857,0.998616
1,0.396825,0.998631
1,0.400794,0.99863
1,0.404762,0.998553
1,0.40873,0.998574
1,0.412698,0.998527
1,0.416667,0.998511
1,0.420635,0.998539
1,0.424603,0.99857
1,0.428571,0.998594
1,0.43254,0.998615
1,0.436508,0.998679
1,0.440476,0.998668
1,0.444444,0.998684
1,0.448413,0.99879
1,0.452381,0.998837
1,0.456349,0.998817
1,0.460317,0.998845
1,0.464286,0.998891
1,0.468254,0.998841
1,0.472222,0.998772
1,0.47619,0.998722
1,0.480159,0.998713
1,0.484127,0.998747
1,0.488095,0.998791
1,0.492063,0.998863
1,0.496032,0.998767
1,0.5,0.998817
1,0.503968,0.998824
1,0.507937,0.998766
1,0.511905,0.998822
1,0.515873,0.998748
1,0.519841,0.998683
1,0.52381,0.998737
1,0.527778,0.998737
1,0.531746,0.998788
1,0.535714,0.998721
1,0.539683,0.998681
1,0.543651,0.99865
1,0.547619,0.998523
1,0.551587,0.998526
1,0.555556,0.998466
1,0.559524,0.998425
1,0.563492,0.998427
1,0.56746,0.998365
1,0.571429,0.998386
1,0.575397,0.998189
1,0.579365,0.998216
1,0.583333,0.998228
1,0.587302,0.998176
1,0.59127,0.998123
1,0.595238,0.998192
1,0.599206,0.998164
1,0.603175,0.998148
1,0.607143,0.998127
1,0.611111,0.998077
1,0.615079,0.998019
1,0.619048,0.997955
1,0.623016,0.998007
1,0.626984,0.997985
1,0.630952,0.997884
1,0.634921,0.997892
1,0.638889,0.997904
1,0.642857,0.997877
1,0.646825,0.99774
1,0.650794,0.997789
1,0.654762,0.997765
1,0.65873,0.997813
1,0.662698,0.997736
1,0.666667,0.997707
1,0.670635,0.997712
1,0.674603,0.997685
1,0.678571,0.997671
1,0.68254,0.997706
1,0.686508,0.997826
1,0.690476,0.99784
1,0.694444,0.997825
1,0.698413,0.997845
1,0.702381,0.99791
1,0.706349,0.99789
1,0.710317,0.997827
1,0.714286,0.997811
1,0.718254,0.997798
1,0.722222,0.997818
1,0.72619,0.997835
1,0.730159,0.997839
1,0.734127,0.997902
1,0.738095,0.997833
1,0.742063,0.997802
1,0.746032,0.997817
1,0.75,0.99775
1,0.753968,0.997678
1,0.757937,0.997679
1,0.761905,0.99764
1,0.765873,0.997614
1,0.769841,0.997673
1,0.77381,0.997715
1,0.777778,0.997647
1,0.781746,0.997605
1,0.785714,0.997557
1,0.789683,0.99757
1,0.793651,0.997533
1,0.797619,0.997545
1,0.801587,0.997463
1,0.805556,0.997466
1,0.809524,0.997463
1,0.813492,0.997378
1,0.81746,0.997347
1,0.821429,0.997338
1,0.825397,0.997342
1,0.829365,0.997248
1,0.833333,0.997224
1,0.837302,0.997219
1,0.84127,0.997241
1,0.845238,0.997199
1,0.849206,0.99711
1,0.853175,0.997056
1,0.857143,0.997016
1,0.861111,0.996986
1,0.865079,0.996972
1,0.869048,0.99696
1,0.873016,0.996929
1,0.876984,0.996903
1,0.880952,0.996945
1,0.884921,0.997066
1,0.888889,0.997038
1,0.892857,0.997075
1,0.896825,0.997061
1,0.900794,0.997091
1,0.904762,0.997029
1,0.90873,0.997055
1,0.912698,0.997158
1,0.916667,0.997113
1,0.920635,0.997124
1,0.924603,0.99713
1,0.928571,0.997159
1,0.93254,0.997167
1,0.936508,0.997072
1,0.940476,0.997081
1,0.944444,0.997106
1,0.948413,0.997018
1,0.952381,0.997007
1,0.956349,0.996975
1,0.960317,0.996997
1,0.964286,0.996866
1,0.968254,0.996856
1,0.972222,0.996749
1,0.97619,0.996786
1,0.980159,0.996926
1,0.984127,0.996907
1,0.988095,0.996931
1,0.992063,0.996875
1,0.996032,0.996853
1,1,0.996771
2,0,1
2,0.00396825,1
2,0.00793651,1
2,0.0119048,1
2,0.015873,1
2,0.0198413,1
2,0.0238095,1
2,0.0277778,1
2,0.031746,1
2,0.0357143,1
2,0.0396825,1
2,0.0436508,1
2,0.047619,1
2,0.0515873,1
2,0.0555556,1
2,0.0595238,1
2,0.0634921,1
2,0.0674603,1
2,0.0714286,1
2,0.0753968,1
2,0.0793651,1
2,0.0833333,1
2,0.0873016,1
2,0.0912698,1
2,0.0952381,1
2,0.0992063,1
2,0.103175,1
2,0.107143,1
