k,t,x
1,0,1
1,0.00396825,0.99954
1,0.00793651,1.0582
1,0.0119048,1.05779
1,0.015873,1.06653
1,0.0198413,1.09396
1,0.0238095,1.12672
1,0.0277778,1.14233
1,0.031746,1.14644
1,0.0357143,1.15515
1,0.0396825,1.16545
1,0.0436508,1.18922
1,0.047619,1.19103
1,0.0515873,1.19042
1,0.0555556,1.19096
1,0.0595238,1.2761
1,0.0634921,1.27545
1,0.0674603,1.31257
1,0.0714286,1.31221
1,0.0753968,1.31302
1,0.0793651,1.3173
1,0.0833333,1.32606
1,0.0873016,1.36847
1,0.0912698,1.37237
1,0.0952381,1.37572
1,0.0992063,1.37494
1,0.103175,1.38245
1,0.107143,1.4074
1,0.111111,1.46981
1,0.115079,1.50001
1,0.119048,1.5169
1,0.123016,1.53804
1,0.126984,1.56918
1,0.130952,1.60456
1,0.134921,1.61318
1,0.138889,1.62803
1,0.142857,1.64237
1,0.146825,1.70526
1,0.150794,1.705
1,0.154762,1.70498
1,0.15873,1.70492
1,0.162698,1.75507
1,0.166667,1.76991
1,0.170635,1.76854
1,0.174603,1.7841
1,0.178571,1.78511
1,0.18254,1.78565
1,0.186508,1.78621
1,0.190476,1.79067
1,0.194444,1.79589
1,0.198413,1.8189
1,0.202381,1.81901
1,0.206349,1.82299
1,0.210317,1.82152
1,0.214286,1.82025
1,0.218254,1.85424
1,0.222222,1.85991
1,0.22619,1.8596
1,0.230159,1.90047
1,0.234127,1.93111
1,0.238095,1.93071
1,0.242063,1.95627
1,0.246032,1.95451
1,0.25,1.99078
1,0.253968,1.99163
1,0.257937,1.99036
1,0.261905,1.99868
1,0.265873,1.99845
1,0.269841,2.0286
1,0.27381,2.0313
1,0.277778,2.05276
1,0.281746,2.05375
1,0.285714,2.05849
1,0.289683,2.05674
1,0.293651,2.05655
1,0.297619,2.05589
1,0.301587,2.05384
1,0.305556,2.05279
1,0.309524,2.07165
1,0.313492,2.06967
1,0.31746,2.07521
1,0.321429,2.07875
1,0.325397,2.09375
1,0.329365,2.09931
1,0.333333,2.12572
1,0.337302,2.13726
1,0.34127,2.14221
1,0.345238,2.14055
1,0.349206,2.1388
1,0.353175,2.13717
1,0.357143,2.14065
1,0.361111,2.16466
1,0.365079,2.16224
1,0.369048,2.16435
1,0.373016,2.16385
1,0.376984,2.17341
1,0.380952,2.17185
1,0.384921,2.18948
1,0.388889,2.1896
1,0.392857,2.21165
1,0.396825,2.21486
1,0.400794,2.21478
1,0.404762,2.21924
1,0.40873,2.2246
1,0.412698,2.22276
1,0.416667,2.22059
1,0.420635,2.22793
1,0.424603,2.2365
1,0.428571,2.24259
1,0.43254,2.24792
1,0.436508,2.27129
1,0.440476,2.26964
1,0.444444,2.27311
1,0.448413,2.32455
1,0.452381,2.3398
1,0.456349,2.33712
1,0.460317,2.34475
1,0.464286,2.35924
1,0.468254,2.35645
1,0.472222,2.35618
1,0.47619,2.35333
1,0.480159,2.35173
1,0.484127,2.36155
1,0.488095,2.37503
1,0.492063,2.40237
1,0.496032,2.40767
1,0.5,2.42396
1,0.503968,2.42551
1,0.507937,2.42263
1,0.511905,2.44134
1,0.515873,2.44046
1,0.519841,2.43799
1,0.52381,2.45559
1,0.527778,2.45547
1,0.531746,2.47192
1,0.535714,2.46935
1,0.539683,2.46521
1,0.543651,2.46136
1,0.547619,2.4741
1,0.551587,2.47477
1,0.555556,2.47118
1,0.559524,2.46693
1,0.563492,2.4675
1,0.56746,2.46399
1,0.571429,2.46909
